Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
14	103912288	103928269	ATP5MJ
12	49707725	49764934	TMBIM6
14	74476192	74494177	NPC2
HG1320_PATCH	35854	46795	MCRIP1
HSCHR22_1_CTG2	68449	78547	APOBEC3A
HSCHR22_1_CTG1	2036	46445	SMDT1
10	119499817	119542719	RGS10
HSCHR22_1_CTG5	81782	101331	NCF4
X	153793516	153798499	SSR4
HSCHR22_1_CTG7	130366	131589	MIF
HSCHR22_1_CTG7	2196	4805	CHCHD10
HSCHR22_3_CTG1	2036	6629	SMDT1
HG1369_PATCH	165618	180052	ACTG1
X	101390824	101396155	RPL36A
20	56358974	56368663	FAM210B
12	69348381	69354234	LYZ
HSCHR19_6_CTG2	64845	77575	NDUFA11
HSCHR2_6_CTG7_2	268603	271946	EEF1B2
X	49171898	49175235	PLP2
22	50525752	50530032	TYMP
6	132814569	132817564	RPS12
20	49278178	49299600	ZFAS1
6	158636474	158644743	DYNLT1
10	120354701	120355183	RPL21P16
20	32052197	32101856	HCK
HSCHR21_4_CTG1_1	5408	83477	IFNGR2
9	136940435	136944738	FBXW5
5	55102646	55110252	GZMA
8	73290242	73295789	RPL7
X	47623172	47630305	CFP
HSCHR22_2_CTG1	2036	6629	SMDT1
17	51153590	51171744	NME1-NME2
9	137188660	137190370	SSNA1
X	55009055	55030977	ALAS2
HSCHR2_12_CTG7_2	358289	367280	MZT2B
HSCHR6_8_CTG1	9689	14891	HLA-DRA
22	39519695	39522683	ATF4
19	40798996	40808434	EGLN2
16	31201486	31203450	PYCARD
2	84905656	84906671	TMSB10
17	48929316	48944842	SNF8
HSCHR6_MHC_MANN_CTG1	2885596	2887563	LTB
HSCHR6_MHC_MANN_CTG1	4263489	4298940	PSMB9
HSCHR6_MHC_MANN_CTG1	3035628	3044810	CLIC1
HSCHR6_MHC_DBB_CTG1	3082387	3087544	SNHG32
HSCHR6_MHC_MANN_CTG1	3988943	4023043	HLA-DRB1
HSCHR6_MHC_DBB_CTG1	4515524	4520024	RPS18
HSCHR6_MHC_MANN_CTG1	4484266	4500478	HLA-DPA1
HSCHR6_MHC_MANN_CTG1	985437	1001192	HLA-F
HSCHR6_MHC_DBB_CTG1	2913007	2920054	CSNK2B
HSCHR6_MHC_DBB_CTG1	4192143	4196655	HLA-DMA
10	103389041	103396492	ATP5MK
X	154389955	154409168	RPL10
20	63739776	63744050	SLC2A4RG
HSCHR6_MHC_MANN_CTG1	2970283	2977329	CSNK2B
HSCHR6_MHC_DBB_CTG1	4308100	4324306	HLA-DPA1
HSCHR6_MHC_DBB_CTG1	2862951	2864788	AIF1
HSCHR6_MHC_MANN_CTG1	4367981	4390100	HLA-DMA
HSCHR6_MHC_COX_CTG1	3629115	3633872	GPSM3
HSCHR6_MHC_MANN_CTG1	2835292	2851631	DDX39B
HSCHR6_MHC_DBB_CTG1	985849	1001601	HLA-F
HSCHR6_MHC_MANN_CTG1	3744059	3749270	HLA-DRA
HSCHR6_MHC_MANN_CTG1	1799702	1804440	HLA-E
HSCHR6_MHC_MANN_CTG1	2037960	2052984	FLOT1
16	21639550	21652608	IGSF6
HSCHR6_MHC_MANN_CTG1	1195801	1200442	HLA-A
HSCHR6_MHC_COX_CTG1	3057842	3059809	LTB
HSCHR6_MHC_MANN_CTG1	1986642	1998148	PPP1R18
HSCHR6_MHC_COX_CTG1	4256285	4258694	PSMB8-AS1
HSCHR6_MHC_COX_CTG1	3207869	3217043	CLIC1
HSCHR6_MHC_MANN_CTG1	2891165	2893950	LST1
HSCHR6_MHC_COX_CTG1	4487777	4498987	HLA-DPB1
HSCHR6_MHC_COX_CTG1	4346824	4365322	HLA-DMB
HSCHR6_MHC_COX_CTG1	1369022	1489345	HLA-A
HSCHR6_MHC_DBB_CTG1	1983559	1998584	FLOT1
HSCHR6_MHC_DBB_CTG1	2828288	2830255	LTB
HSCHR6_MHC_DBB_CTG1	1144955	1265390	HLA-A
HSCHR6_MHC_MANN_CTG1	4495623	4506904	HLA-DPB1
HSCHR6_MHC_COX_CTG1	2207446	2222473	FLOT1
HSCHR6_MHC_COX_CTG1	4072371	4079982	HLA-DQB1
HSCHR6_MHC_MANN_CTG1	3495744	3500501	GPSM3
HSCHR6_MHC_MANN_CTG1	2578541	2665857	HLA-B
HSCHR6_MHC_COX_CTG1	3007552	3023908	DDX39B
HSCHR6_MHC_DBB_CTG1	1932243	1943749	PPP1R18
10	69088103	69104805	SRGN
HSCHR6_MHC_MANN_CTG1	4263439	4265848	PSMB8-AS1
HSCHR6_MHC_DBB_CTG1	1745299	1750037	HLA-E
HSCHR6_MHC_MANN_CTG1	2577801	2581172	HLA-C
HSCHR6_MHC_DBB_CTG1	4087656	4090065	PSMB8-AS1
HSCHR6_MHC_DBB_CTG1	4178158	4196655	HLA-DMB
HSCHR6_MHC_DBB_CTG1	2777992	2794348	DDX39B
HSCHR6_MHC_MANN_CTG1	4076917	4086211	HLA-DQB1
HSCHR6_MHC_MANN_CTG1	4260070	4264056	PSMB8
HSCHR6_MHC_COX_CTG1	4476420	4492625	HLA-DPA1
HSCHR6_MHC_MANN_CTG1	4353997	4372491	HLA-DMB
HSCHR6_MHC_DBB_CTG1	2978342	2987529	CLIC1
HSCHR6_MHC_COX_CTG1	3311855	3317010	SNHG32
HSCHR6_MHC_DBB_CTG1	3814543	3848645	HLA-DRB1
HSCHR6_MHC_DBB_CTG1	2833859	2836646	LST1
HSCHR6_MHC_DBB_CTG1	3900296	3910237	HLA-DQB1
HSCHR6_MHC_DBB_CTG1	4084287	4088273	PSMB8
HSCHR6_MHC_DBB_CTG1	4319457	4330724	HLA-DPB1
HSCHR6_MHC_DBB_CTG1	4087706	4123110	PSMB9
HSCHR6_MHC_COX_CTG1	1969202	1973940	HLA-E
HSCHR6_MHC_COX_CTG1	4683491	4687991	RPS18
HSCHR6_MHC_COX_CTG1	1206635	1222378	HLA-F
HSCHR6_MHC_DBB_CTG1	3680147	3685357	HLA-DRA
HSCHR6_MHC_DBB_CTG1	2526549	2529920	HLA-C
14	24136163	24138967	PSME1
HSCHR6_MHC_COX_CTG1	3092473	3094310	AIF1
HSCHR6_MHC_COX_CTG1	4360810	4382925	HLA-DMA
2	101002229	101024032	RPL31
HSCHR6_MHC_COX_CTG1	2156133	2167639	PPP1R18
HSCHR4_2_CTG8_1	36355	41373	RPS3A
HSCHR6_MHC_COX_CTG1	4252915	4256902	PSMB8
HSCHR6_MHC_COX_CTG1	3877968	3883135	HLA-DRA
HSCHR6_MHC_COX_CTG1	3063411	3066192	LST1
HSCHR6_MHC_COX_CTG1	4256335	4291786	PSMB9
HSCHR6_MHC_COX_CTG1	3142527	3150837	CSNK2B
14	24143362	24147570	PSME2
HSCHR6_MHC_COX_CTG1	2749675	2753056	HLA-C
HSCHR6_MHC_COX_CTG1	2750417	2837604	HLA-B
HSCHR6_MHC_COX_CTG1	3998045	4028652	HLA-DRB1
HSCHR8_4_CTG7	8270	14120	LY6E
HSCHR8_3_CTG7	69737	87784	EEF1D
11	123057489	123063230	HSPA8
HSCHR8_3_CTG7	102658	108088	GFUS
8	18055992	18084998	ASAH1
9	136862119	136866308	EDF1
18	46080248	46104334	ATP5F1A
20	21755270	21755350	RPL41P1
16	30092314	30096915	YPEL3
HSCHR6_MHC_APD_CTG1	2918703	2921488	LST1
14	24216857	24232367	NEDD8
HSCHR6_MHC_APD_CTG1	2057212	2060006	FLOT1
HSCHR6_MHC_APD_CTG1	2005896	2017402	PPP1R18
HSCHR6_MHC_MCF_CTG1	985480	988541	HLA-F
HSCHR6_MHC_APD_CTG1	2913134	2915101	LTB
HSCHR6_MHC_QBL_CTG1	2524921	2612898	HLA-B
HSCHR6_MHC_MCF_CTG1	1286636	1289979	HLA-A
HSCHR6_MHC_APD_CTG1	4239474	4257972	HLA-DMB
HSCHR6_MHC_APD_CTG1	4145582	4149568	PSMB8
HSCHR6_MHC_MCF_CTG1	1833523	1838261	HLA-E
HSCHR6_MHC_QBL_CTG1	1744563	1749301	HLA-E
HSCHR6_MHC_QBL_CTG1	1196218	1264879	HLA-A
HSCHR6_MHC_APD_CTG1	4380588	4391853	HLA-DPB1
HSCHR6_MHC_APD_CTG1	4253460	4257972	HLA-DMA
HSCHR6_MHC_QBL_CTG1	2841945	2844732	LST1
HSCHR6_MHC_MCF_CTG1	2020466	2031972	PPP1R18
HSCHR6_MHC_QBL_CTG1	2871006	2872843	AIF1
HSCHR6_MHC_MCF_CTG1	2071784	2085614	FLOT1
HSCHR6_MHC_APD_CTG1	4369249	4385443	HLA-DPA1
HSCHR6_MHC_APD_CTG1	1147348	1267669	HLA-A
HSCHR6_MHC_APD_CTG1	4148951	4151360	PSMB8-AS1
HSCHR6_MHC_QBL_CTG1	1982822	1997843	FLOT1
HSCHR6_MHC_APD_CTG1	3167223	3172381	SNHG32
HSCHR6_MHC_APD_CTG1	4149001	4184429	PSMB9
HSCHRX_3_CTG3	233384	260121	WDR45
HSCHR6_MHC_APD_CTG1	2862768	2871733	DDX39B
HSCHR6_MHC_MCF_CTG1	2611478	2614849	HLA-C
HSCHR6_MHC_QBL_CTG1	4259201	4275413	HLA-DPA1
HSCHR6_MHC_MCF_CTG1	2612219	2699230	HLA-B
HSCHR6_MHC_APD_CTG1	3523365	3528122	GPSM3
HSCHR6_MHC_MCF_CTG1	2872162	2888517	DDX39B
HSCHR6_MHC_QBL_CTG1	4038424	4073874	PSMB9
HSCHR6_MHC_QBL_CTG1	2921060	2929370	CSNK2B
HSCHR6_MHC_MCF_CTG1	2922453	2924420	LTB
HSCHR6_MHC_MCF_CTG1	2928019	2930802	LST1
HSCHR6_MHC_MCF_CTG1	2957070	2958907	AIF1
22	36510855	36529184	EIF3D
19	49335171	49343335	CD37
HSCHR6_MHC_QBL_CTG1	3090448	3095602	SNHG32
HSCHR6_MHC_MCF_CTG1	3007108	3015418	CSNK2B
HSCHR6_MHC_MCF_CTG1	3072456	3081639	CLIC1
7	135662496	135693418	STMP1
HSCHR6_MHC_QBL_CTG1	4128937	4147432	HLA-DMB
HSCHR6_MHC_QBL_CTG1	985815	1001571	HLA-F
HSCHR6_MHC_QBL_CTG1	4466427	4470930	RPS18
HSCHR6_MHC_QBL_CTG1	4035005	4038991	PSMB8
HSCHR6_MHC_MCF_CTG1	3532782	3537539	GPSM3
HSCHR6_MHC_SSTO_CTG1	2885405	2888190	LST1
HSCHR6_MHC_QBL_CTG1	4038374	4040783	PSMB8-AS1
HSCHR6_MHC_MCF_CTG1	3780808	3786018	HLA-DRA
HSCHR6_MHC_SSTO_CTG1	4243388	4278806	PSMB9
HSCHR6_MHC_MCF_CTG1	3955834	3964882	HLA-DQB1
HSCHR6_MHC_QBL_CTG1	4270558	4281835	HLA-DPB1
HSCHR6_MHC_QBL_CTG1	4142920	4165041	HLA-DMA
HSCHR6_MHC_MCF_CTG1	4139786	4143772	PSMB8
HSCHR6_MHC_MCF_CTG1	4143155	4145564	PSMB8-AS1
HSCHR6_MHC_MCF_CTG1	4143205	4178620	PSMB9
HSCHR6_MHC_QBL_CTG1	3413965	3418722	GPSM3
HSCHR6_MHC_MCF_CTG1	4233672	4252170	HLA-DMB
HSCHR6_MHC_MCF_CTG1	4247658	4269773	HLA-DMA
HSCHR6_MHC_SSTO_CTG1	4865167	4867042	CUTA
HSCHR6_MHC_QBL_CTG1	2524181	2527552	HLA-C
HSCHR6_MHC_MCF_CTG1	4363634	4379828	HLA-DPA1
HSCHR6_MHC_MCF_CTG1	4374973	4386238	HLA-DPB1
HSCHR6_MHC_QBL_CTG1	3853335	3860946	HLA-DQB1
HSCHR6_MHC_QBL_CTG1	2786081	2802434	DDX39B
HSCHR6_MHC_MCF_CTG1	4707972	4712476	RPS18
HSCHR6_MHC_SSTO_CTG1	4720691	4724211	RPS18
HSCHR6_MHC_SSTO_CTG1	2914470	2916307	AIF1
HSCHR6_MHC_SSTO_CTG1	3979128	4012352	HLA-DRB1
HSCHR6_MHC_QBL_CTG1	1931503	1943009	PPP1R18
HSCHR6_MHC_SSTO_CTG1	1239073	1307767	HLA-A
HSCHR6_MHC_QBL_CTG1	2986392	2995582	CLIC1
HSCHR6_MHC_QBL_CTG1	2836376	2838343	LTB
HSCHR6_MHC_SSTO_CTG1	1977172	1980172	PPP1R18
HSCHR6_MHC_SSTO_CTG1	2570707	2574099	HLA-C
HSCHR6_MHC_QBL_CTG1	3662891	3668101	HLA-DRA
HSCHR6_MHC_SSTO_CTG1	4333862	4352360	HLA-DMB
HSCHR6_MHC_SSTO_CTG1	2571447	2659467	HLA-B
HSCHR6_MHC_SSTO_CTG1	2829503	2841732	DDX39B
HSCHR6_MHC_QBL_CTG1	3779004	3809621	HLA-DRB1
HSCHR6_MHC_SSTO_CTG1	4513552	4529758	HLA-DPA1
HSCHR6_MHC_SSTO_CTG1	1790236	1794974	HLA-E
HSCHR6_MHC_SSTO_CTG1	4243338	4245747	PSMB8-AS1
HSCHR6_MHC_SSTO_CTG1	4056698	4063945	HLA-DQB1
19	39328353	39342372	GMFG
11	75399515	75422280	RPS3
HSCHR6_MHC_SSTO_CTG1	1029074	1044770	HLA-F
HSCHR6_MHC_SSTO_CTG1	3506971	3511728	GPSM3
HSCHR7_2_CTG6	824014	825718	TRBC2
HSCHR6_MHC_SSTO_CTG1	4524909	4536184	HLA-DPB1
HSCHR6_MHC_SSTO_CTG1	2028495	2043529	FLOT1
HSCHR6_MHC_SSTO_CTG1	4347848	4369963	HLA-DMA
HSCHR6_MHC_SSTO_CTG1	2879835	2881802	LTB
HSCHR6_MHC_SSTO_CTG1	4239969	4243903	PSMB8
HSCHR6_MHC_SSTO_CTG1	3029877	3039060	CLIC1
HSCHR6_MHC_SSTO_CTG1	2964520	2972830	CSNK2B
8	144423601	144428563	VPS28
19	39406847	39409412	ZFP36
19	39433137	39435949	RPS16
HSCHR6_MHC_SSTO_CTG1	3754985	3760195	HLA-DRA
6	29722775	29738528	HLA-F
9	127907886	127917041	ST6GALNAC4
9	127935099	127937854	DPM2
7	56101573	56106476	CHCHD2
19	46601074	46610782	CALM3
11	64318121	64321811	PRDX5
17	1646145	1649866	RILP
20	35542038	35557634	ERGIC3
10	72216000	72235860	ANAPC16
20	36605779	36612557	RAB5IF
22	23765834	23767972	CHCHD10
7	101239458	101252316	FIS1
10	71747556	71773520	VSIR
X	119786504	119791630	RPL39
X	119871832	119876662	NDUFA1
7	98252379	98310441	BRI3
11	5225464	5229395	HBB
11	5232678	5243657	HBD
11	5253188	5505605	HBG2
19	47745546	47757058	NOP53
12	51238724	51271362	DAZAP2
11	5248269	5249857	HBG1
17	42998273	43002959	RPL27
3	169483671	169484080	RPL22P1
11	747415	765012	TALDO1
2	111006015	111523376	MIR4435-2HG
14	67647085	67674820	VTI1B
10	100523740	100530000	NDUFB8
22	37675636	37679802	LGALS1
5	179911651	180072113	RNF130
16	153892	166764	HBM
16	172876	173710	HBA2
16	176680	177522	HBA1
16	180459	181179	HBQ1
8	143990056	143993415	GRINA
11	809965	812880	RPLP2
22	37282027	37315341	CYTH4
8	144098633	144108124	SHARPIN
8	144104461	144107611	MAF1
17	7930345	7932123	TRAPPC1
11	837356	842529	POLR2L
9	133348218	133351426	RPL7A
22	37225270	37259594	RAC2
12	117038923	117099479	TESC
19	48965309	48966879	FTL
14	94376747	94390693	SERPINA1
19	35154730	35169881	FXYD5
4	77047155	77076309	CCNI
X	23783173	23786210	SAT1
17	8377516	8383213	RPL26
8	100685816	100722809	PABPC1
1	110871188	110899922	CD53
6	31530219	31542448	DDX39B
11	1947278	1984522	MRPL23
4	39452587	39458931	RPL9
15	79960892	79971196	BCL2A1
X	2691187	2741309	CD99
6	31580525	31582522	LTB
6	31586124	31588909	LST1
19	55385932	55403250	RPL28
6	31615217	31617021	AIF1
8	108162787	108443496	EIF3E
16	31527900	31528803	AHSP
15	69452814	69456205	RPLP1
22	22906342	22906803	IGLC3
16	30064164	30070457	ALDOA
8	56067254	56074510	RPS20
16	1795620	1827157	HAGH
2	126656133	126696667	GYPC
6	32934629	32941028	HLA-DMB
11	63974620	63976543	COX8A
6	32948613	32969094	HLA-DMA
19	10115014	10119918	EIF3G
11	1850904	1892267	LSP1
9	128720870	128724127	ZDHHC12
5	131155383	131224468	HINT1
1	160678746	160711831	CD48
11	72085895	72103297	LAMTOR1
6	73489308	73525587	EEF1A1
7	140690777	140722790	NDUFB2
14	55124110	55145423	LGALS3
16	2513952	2520218	ATP6V0C
12	118246084	118246962	RPS2P5
15	78921058	78949574	CTSH
8	124539101	124580648	NDUFB9
6	31834608	31839766	SNHG32
19	18173162	18178117	IFI30
5	140638740	140647771	NDUFA2
6	31665227	31670343	CSNK2B
17	82321024	82334074	SECTM1
7	99448475	99466186	ATP5MF
11	65919274	65921563	DRAP1
6	30489509	30494194	HLA-E
3	10115675	10127190	BRK1
10	71816298	71851251	PSAP
7	5526409	5563902	ACTB
1	173477330	173488815	PRDX6
6	41787662	41789898	TOMM6
19	9827892	9830115	UBL5
20	34516395	34540958	DYNLRB1
11	61768501	61792802	TMEM258
1	169690665	169711702	SELL
19	1438358	1440495	RPS15
17	19445970	19446852	RPS2P46
19	35738801	35742453	IGFLR1
3	129167827	129183922	CNBP
19	35745600	35747519	PSENEN
19	13099033	13103161	LYL1
8	99873200	99893707	COX6C
16	28097976	28211965	XPO6
15	88635670	88656483	ISG20
15	64155740	64163134	PPIB
19	8308768	8321375	NDUFA7
20	57391396	57409333	RBM38
17	75776434	75785893	H3-3B
19	48615328	48619184	RPL18
22	32474676	32498829	FBXO7
9	111661605	111670226	GNG10
12	57472264	57488814	ARHGAP9
16	89560677	89564542	RPL13
22	38952741	38963184	APOBEC3A
20	45174902	45176544	PI3
X	47142071	47145466	NDUFB11
6	32844078	32846500	PSMB8-AS1
6	32844136	32859851	PSMB9
19	49496365	49499708	RPS11
4	87336515	87391188	HSD17B11
19	49506816	49526428	FCGRT
19	49555468	49590262	NOSIP
8	143612618	143618048	GFUS
19	49659569	49665875	IRF3
22	42079691	42084284	SMDT1
20	64073181	64079988	RGS19
17	49223366	49230787	PHOSPHO1
20	50247643	50283250	PELATON
X	107713221	107777342	TSC22D3
8	144789765	144792587	RPL8
20	63736283	63739103	LIME1
19	4444999	4457794	UBXN6
17	28546708	28552631	UNC119
7	44796680	44824564	PPIA
19	1876810	1885496	ABHD17A
6	32190766	32195523	GPSM3
19	2321520	2328611	LSM7
6	32439878	32445046	HLA-DRA
6	30676389	30687895	PPP1R18
6	30727709	30742732	FLOT1
14	94127779	94130253	IFI27L2
19	14566078	14572066	NDUFB7
17	28719985	28724359	RPL23A
11	63536808	63546462	PLAAT4
19	7680833	7687703	TRAPPC5
10	17228241	17237593	VIM
5	171387116	171411810	NPM1
6	35468401	35470785	RPL10A
7	142801041	142802748	TRBC2
14	105486317	105488947	CRIP1
4	83090048	83137075	PLAC8
12	120438090	120440737	COX6A1
12	120469850	120498493	DYNLL1
8	23102921	23117445	TNFRSF10C
1	20589086	20618903	CDA
7	100673567	100679174	GNB2
X	119468422	119471396	SLC25A5
12	49127782	49131397	TUBA1B
1	23691742	23696835	RPL11
17	63695888	63701172	LIMD2
16	66552563	66566251	CKLF
16	66579448	66588275	CMTM2
19	49487510	49493057	RPL13A
8	116642130	116766925	EIF3H
17	64498254	64508199	DDX5
1	155169408	155173475	KRTCAP2
19	12668073	12669415	WDR83OS
19	12730640	12734684	TRIR
19	12791486	12793315	JUNB
19	12796820	12801800	PRDX2
11	67350772	67356972	POLD4
2	74526645	74529760	AUP1
11	67398181	67421183	PPP1CA
12	6942978	6946003	C12orf57
9	19375715	19380236	RPS6
12	6946468	6961316	PTPN6
11	67403915	67410089	TBC1D10C
20	58839718	58911192	GNAS
19	40576853	40591399	SHKBP1
12	6867119	6870948	TPI1
11	67435510	67437682	PTPRCAP
1	10398592	10420511	PGD
4	108620569	108630412	RPL34
X	12975110	12977227	TMSB4X
7	128862856	128865847	ATP6V1F
17	75135248	75168281	JPT1
19	17511636	17521288	PGLS
17	75165586	75182959	SUMO2
19	3052910	3063107	TLE5
12	76036585	76084735	NAP1L1
19	35902529	35904377	HCST
19	35904401	35908295	TYROBP
11	7970251	8001862	EIF3F
15	66498015	66524532	RPL4
17	39200283	39204840	RPL19
19	18899514	18919387	COPE
1	156009048	156020951	SSR2
4	102794383	102868896	UBE2D3
11	1752752	1764573	CTSD
17	4710596	4721499	ARRB2
6	166922113	166957191	RNASET2
19	531760	542092	CDC34
1	47183582	47191044	PDZK1IP1
1	182378098	182392206	GLUL
6	33075990	33089696	HLA-DPB1
5	150442635	150449739	RPS14
19	10566460	10569059	CDKN2D
6	33272075	33276511	RPS18
1	151254709	151267479	PSMD4
1	159918107	159925507	TAGLN2
19	10836575	10869790	C19orf38
7	106248298	106285966	NAMPT
2	240565804	240581372	RNPEPL1
9	131125573	131234663	NUP214
19	42198598	42220140	DEDD2
5	132440440	132508719	IRF1
6	33416442	33418317	CUTA
8	143579697	143599541	EEF1D
19	35443907	35451767	FFAR2
6	85650491	85678932	SNHG5
10	78033760	78056813	RPS24
19	38619082	38636955	EIF3K
7	143244093	143270854	GSTK1
6	41934934	42050357	CCND3
11	65823022	65862026	CFL1
7	143381295	143391111	ZYX
17	81822361	81833302	MCRIP1
X	153907367	153934999	ARHGAP4
10	98410939	98446963	HPS1
2	130181737	130190729	MZT2B
5	82273320	82278396	RPS23
X	153929225	153935080	NAA10
19	13144058	13150383	STX10
12	108562582	108569368	ISCU
8	22048995	22082527	DMTN
4	6693878	6697170	S100P
3	51993522	51995895	RPL29
3	52228612	52246788	TWF2
3	52245759	52250599	PPM1M
11	3826978	3840959	RHOG
16	11547722	11636381	LITAF
17	81509413	81523847	ACTG1
4	119296419	119304445	C4orf3
15	82536750	82540459	RPS17
12	21635342	21757857	LDHB
9	99222064	99230615	SEC61B
11	82689559	82689768	RPS28P7
3	49095932	49105130	QARS1
1	161152776	161158856	UFC1
1	161215234	161220699	FCER1G
